MorU,Activity,sctg2,Coefficient
M,AgforF,01,0.06658
M,AgforF,02,0.04882
M,AgforF,03,0.45989
M,AgforF,04,0.00725
M,AgforF,05,0.0134
M,AgforF,07,0.06517
M,AgforF,10,0.0147
M,AgforF,11,0.01605
M,AgforF,13,0.00235
M,AgforF,14,0.08483
M,AgforF,15,0.00429
M,AgforF,16,0.03891
M,AgforF,17,0.00242
M,AgforF,18,0.00121
M,AgforF,19,0.00162
M,AgforF,20,0.0014
M,AgforF,25,0.16857
M,AgforF,30,0.00192
M,AgforF,31,0.00062
M,AgforF,33,1e-05
M,Imports,01,0.0046
M,Imports,02,0.00666
M,Imports,03,0.00821
M,Imports,04,0.00738
M,Imports,05,0.03047
M,Imports,06,0.00898
M,Imports,07,0.04467
M,Imports,08,0.01411
M,Imports,10,0.00097
M,Imports,11,2e-04
M,Imports,13,0.00137
M,Imports,14,0.00604
M,Imports,15,0.00674
M,Imports,16,0.01668
M,Imports,17,0.05156
M,Imports,18,0.02579
M,Imports,19,0.04225
M,Imports,20,0.02025
M,Imports,21,0.05819
M,Imports,22,0.0051
M,Imports,23,0.03377
M,Imports,24,0.04655
M,Imports,25,0.01853
M,Imports,26,0.00744
M,Imports,27,0.00713
M,Imports,28,0.01279
M,Imports,29,0.01701
M,Imports,30,0.03354
M,Imports,31,0.01461
M,Imports,32,0.03759
M,Imports,33,0.02678
M,Imports,34,0.07472
M,Imports,35,0.11621
M,Imports,36,0.06923
M,Imports,37,0.02118
M,Imports,38,0.03196
M,Imports,39,0.01921
M,Imports,40,0.04736
M,Imports,41,0.00417
M,ManufF,04,0.00565
M,ManufF,05,0.03112
M,ManufF,06,0.01657
M,ManufF,07,0.14473
M,ManufF,08,0.02031
M,ManufF,17,0.0015
M,ManufF,18,0.00075
M,ManufF,19,0.00862
M,ManufF,20,0.01671
M,ManufF,21,0.01061
M,ManufF,23,0.01594
M,ManufF,24,0.03131
M,ManufF,26,0.05905
M,ManufF,27,0.05119
M,ManufF,28,0.01753
M,ManufF,29,0.00894
M,ManufF,30,0.00746
M,ManufF,31,0.02185
M,ManufF,32,0.04802
M,ManufF,33,0.03878
M,ManufF,34,0.05539
M,ManufF,35,0.24583
M,ManufF,36,0.03973
M,ManufF,38,0.02804
M,ManufF,40,0.02402
M,ManufF,13,2e-05
M,ManufF,39,0.01503
M,ManufF,41,0.00071
M,ManufF,10,6e-05
M,ManufF,11,9e-05
M,ManufF,22,0.00676
M,ManufF,37,0.02769
M,PublicF,02,0.02836
M,PublicF,07,0.03838
M,PublicF,25,0.45159
M,PublicF,30,0.03146
M,PublicF,41,0.45022
M,RetailF,41,1
M,ServiceF,29,0.92531
M,ServiceF,41,0.07469
M,hhold,41,1
U,Exports,01,0.2797
U,PublicF,01,0.00115
U,ServiceF,01,0.00085
U,RetailF,01,0.00104
U,hhold,01,0.03229
U,ManufF,01,0.48869
U,AgforF,01,0.19628
U,RetailF,02,0.01218
U,Exports,02,0.32216
U,PublicF,02,0.00202
U,ServiceF,02,0.0016
U,hhold,02,0.01532
U,ManufF,02,0.44664
U,AgforF,02,0.20008
U,ConstrF,03,0.00473
U,UtilF,03,2e-04
U,RetailF,03,0.0033
U,Exports,03,0.72091
U,ServiceF,03,0.00508
U,PublicF,03,0.00339
U,hhold,03,0.0984
U,ManufF,03,0.10394
U,AgforF,03,0.05996
U,WhlsaleF,03,8e-05
U,UtilF,04,0.00089
U,Exports,04,0.10849
U,PublicF,04,0.00478
U,ServiceF,04,0.00977
U,RetailF,04,0.02072
U,hhold,04,0.47593
U,ManufF,04,0.09366
U,AgforF,04,0.28218
U,WhlsaleF,04,0.00357
U,UtilF,05,0.00042
U,RetailF,05,0.05949
U,Exports,05,0.32928
U,PublicF,05,0.02189
U,ServiceF,05,0.03753
U,hhold,05,0.35671
U,ManufF,05,0.19426
U,AgforF,05,0.00024
U,TrawhseF,05,3e-05
U,WhlsaleF,05,0.00014
U,UtilF,06,0.00382
U,RetailF,06,0.0418
U,Exports,06,0.33612
U,PublicF,06,0.01646
U,ServiceF,06,0.01172
U,hhold,06,0.45487
U,ManufF,06,0.1318
U,AgforF,06,0.00334
U,TrawhseF,06,6e-05
U,UtilF,07,0.00146
U,RetailF,07,0.03231
U,Exports,07,0.49054
U,PublicF,07,0.0086
U,ServiceF,07,0.01068
U,hhold,07,0.27621
U,ManufF,07,0.17669
U,AgforF,07,0.00317
U,TrawhseF,07,2e-05
U,WhlsaleF,07,0.00033
U,UtilF,08,3e-05
U,RetailF,08,0.03758
U,Exports,08,0.33125
U,PublicF,08,0.00318
U,ServiceF,08,0.00174
U,hhold,08,0.57394
U,ManufF,08,0.05186
U,AgforF,08,0.00019
U,TrawhseF,08,0.00012
U,WhlsaleF,08,0.00011
U,ConstrF,10,0.34542
U,Exports,10,0.3433
U,ServiceF,10,0.04382
U,hhold,10,0.03511
U,ManufF,10,0.10406
U,AgforF,10,0.1251
U,TrawhseF,10,0.00319
U,ConstrF,11,0.09563
U,Exports,11,0.54831
U,hhold,11,0.01171
U,ManufF,11,0.27765
U,AgforF,11,0.0181
U,ServiceF,11,0.04813
U,RetailF,11,0.00047
U,ConstrF,13,0.01981
U,Exports,13,0.2109
U,PublicF,13,0.15728
U,hhold,13,0.00696
U,ServiceF,13,0.02545
U,ManufF,13,0.3878
U,AgforF,13,0.19177
U,RetailF,13,2e-05
U,RetailF,14,0.00739
U,Exports,14,0.66998
U,ServiceF,14,0.01378
U,PublicF,14,2e-05
U,ManufF,14,0.15543
U,AgforF,14,0.1534
U,WhlsaleF,14,1e-05
U,UtilF,15,0.83046
U,RetailF,15,0.00054
U,Exports,15,0.06419
U,ServiceF,15,0.00219
U,PublicF,15,0.0035
U,hhold,15,0.00071
U,ManufF,15,0.08845
U,AgforF,15,0.00971
U,TrawhseF,15,0.00013
U,WhlsaleF,15,0.00012
U,UtilF,16,0.80907
U,RetailF,16,0.00172
U,Exports,16,0.09182
U,ServiceF,16,0.02648
U,PublicF,16,0.00032
U,ManufF,16,0.06582
U,AgforF,16,0.00386
U,TrawhseF,16,4e-04
U,WhlsaleF,16,0.00051
U,ConstrF,17,0.06069
U,UtilF,17,0.07395
U,RetailF,17,0.0133
U,Exports,17,0.00352
U,ServiceF,17,0.08252
U,PublicF,17,0.12186
U,hhold,17,0.33319
U,ManufF,17,0.08411
U,AgforF,17,0.08036
U,TrawhseF,17,0.13169
U,WhlsaleF,17,0.01482
U,ConstrF,18,0.06064
U,UtilF,18,0.07389
U,RetailF,18,0.01328
U,Exports,18,0.00434
U,ServiceF,18,0.08246
U,PublicF,18,0.12176
U,hhold,18,0.33291
U,ManufF,18,0.08404
U,AgforF,18,0.08029
U,TrawhseF,18,0.13158
U,WhlsaleF,18,0.01481
U,ConstrF,19,0.08267
U,UtilF,19,0.04521
U,RetailF,19,0.01292
U,Exports,19,0.03845
U,ServiceF,19,0.09092
U,PublicF,19,0.09602
U,hhold,19,0.22257
U,ManufF,19,0.26187
U,AgforF,19,0.05647
U,TrawhseF,19,0.08147
U,WhlsaleF,19,0.01142
U,ConstrF,20,0.00074
U,UtilF,20,0.00131
U,RetailF,20,0.00161
U,Exports,20,0.32153
U,ServiceF,20,0.05049
U,PublicF,20,0.0487
U,hhold,20,0.00815
U,ManufF,20,0.55645
U,AgforF,20,0.00777
U,TrawhseF,20,0.00194
U,WhlsaleF,20,0.00131
U,ConstrF,21,0.00015
U,UtilF,21,2e-05
U,RetailF,21,0.00049
U,Exports,21,0.09852
U,PublicF,21,0.06034
U,ServiceF,21,0.13585
U,hhold,21,0.66901
U,ManufF,21,0.03333
U,AgforF,21,0.00223
U,WhlsaleF,21,6e-05
U,ConstrF,22,0.06704
U,UtilF,22,0.00098
U,RetailF,22,0.00152
U,Exports,22,0.187
U,ServiceF,22,0.01746
U,PublicF,22,0.03116
U,hhold,22,0.02536
U,ManufF,22,0.23505
U,AgforF,22,0.43044
U,TrawhseF,22,0.00013
U,WhlsaleF,22,0.00386
U,ConstrF,23,0.02586
U,UtilF,23,0.00734
U,RetailF,23,0.01974
U,Exports,23,0.19183
U,ServiceF,23,0.04695
U,PublicF,23,0.04981
U,hhold,23,0.32857
U,ManufF,23,0.18584
U,AgforF,23,0.13474
U,TrawhseF,23,0.00359
U,WhlsaleF,23,0.00574
U,ConstrF,24,0.04885
U,UtilF,24,0.00767
U,RetailF,24,0.03209
U,Exports,24,0.25574
U,ServiceF,24,0.05962
U,PublicF,24,0.03754
U,hhold,24,0.08417
U,ManufF,24,0.4381
U,AgforF,24,0.01191
U,TrawhseF,24,0.00961
U,WhlsaleF,24,0.0147
U,Exports,25,0.54752
U,ServiceF,25,2e-05
U,ManufF,25,0.30118
U,AgforF,25,0.15128
U,ConstrF,26,0.0623
U,UtilF,26,0.00198
U,RetailF,26,0.00845
U,Exports,26,0.71218
U,ServiceF,26,0.0121
U,PublicF,26,0.01351
U,hhold,26,0.01987
U,ManufF,26,0.15528
U,AgforF,26,0.00598
U,TrawhseF,26,0.00464
U,WhlsaleF,26,0.00371
U,ConstrF,27,0.00181
U,UtilF,27,0.00166
U,RetailF,27,0.0124
U,Exports,27,0.72787
U,ServiceF,27,0.02467
U,PublicF,27,0.02117
U,hhold,27,0.0479
U,ManufF,27,0.15868
U,AgforF,27,0.00035
U,TrawhseF,27,0.00083
U,WhlsaleF,27,0.00268
U,ConstrF,28,0.01122
U,UtilF,28,0.00689
U,RetailF,28,0.03587
U,Exports,28,0.26328
U,ServiceF,28,0.05636
U,PublicF,28,0.07437
U,hhold,28,0.14569
U,ManufF,28,0.38123
U,AgforF,28,0.00696
U,TrawhseF,28,0.00311
U,WhlsaleF,28,0.01501
U,ConstrF,29,0.00015
U,UtilF,29,0.0058
U,RetailF,29,0.03913
U,Exports,29,0.26676
U,ServiceF,29,0.20025
U,PublicF,29,0.12167
U,hhold,29,0.33099
U,ManufF,29,0.01178
U,AgforF,29,0.00089
U,TrawhseF,29,0.00194
U,WhlsaleF,29,0.02064
U,ConstrF,30,0.01033
U,UtilF,30,0.01002
U,RetailF,30,0.01332
U,Exports,30,0.1022
U,ServiceF,30,0.02165
U,PublicF,30,0.02778
U,hhold,30,0.72024
U,ManufF,30,0.08049
U,AgforF,30,0.00764
U,TrawhseF,30,0.00082
U,WhlsaleF,30,0.00551
U,ConstrF,31,0.30867
U,UtilF,31,0.00679
U,RetailF,31,0.02374
U,Exports,31,0.26967
U,ServiceF,31,0.06244
U,PublicF,31,0.00973
U,hhold,31,0.07501
U,ManufF,31,0.23522
U,AgforF,31,0.00554
U,TrawhseF,31,0.00074
U,WhlsaleF,31,0.00245
U,ConstrF,32,0.01117
U,UtilF,32,0.00126
U,RetailF,32,0.00389
U,Exports,32,0.36946
U,ServiceF,32,0.0108
U,PublicF,32,0.00121
U,hhold,32,0.00263
U,ManufF,32,0.58734
U,AgforF,32,0.00681
U,TrawhseF,32,0.00327
U,WhlsaleF,32,0.00216
U,ConstrF,33,0.15747
U,UtilF,33,0.00774
U,RetailF,33,0.02087
U,Exports,33,0.3943
U,ServiceF,33,0.04721
U,PublicF,33,0.02203
U,hhold,33,0.03754
U,ManufF,33,0.2848
U,AgforF,33,0.00803
U,TrawhseF,33,0.01467
U,WhlsaleF,33,0.00533
U,ConstrF,34,0.09892
U,UtilF,34,0.01914
U,RetailF,34,0.01197
U,Exports,34,0.35906
U,ServiceF,34,0.05228
U,PublicF,34,0.03608
U,hhold,34,0.09001
U,ManufF,34,0.30138
U,AgforF,34,0.01946
U,TrawhseF,34,0.00749
U,WhlsaleF,34,0.00423
U,ConstrF,35,0.01224
U,UtilF,35,0.00337
U,RetailF,35,0.00456
U,Exports,35,0.61256
U,ServiceF,35,0.03785
U,PublicF,35,0.02094
U,hhold,35,0.11146
U,ManufF,35,0.19012
U,AgforF,35,0.00064
U,TrawhseF,35,0.00109
U,WhlsaleF,35,0.00517
U,ConstrF,36,0.01282
U,UtilF,36,0.00499
U,RetailF,36,0.03362
U,Exports,36,0.285
U,ServiceF,36,0.02276
U,PublicF,36,0.04956
U,hhold,36,0.39681
U,ManufF,36,0.14487
U,AgforF,36,0.0164
U,TrawhseF,36,0.0244
U,WhlsaleF,36,0.00877
U,ConstrF,37,0.00024
U,UtilF,37,0.00016
U,RetailF,37,2e-04
U,Exports,37,0.53213
U,ServiceF,37,0.00077
U,PublicF,37,0.21838
U,hhold,37,0.05844
U,ManufF,37,0.10093
U,AgforF,37,0.00154
U,TrawhseF,37,0.08711
U,WhlsaleF,37,0.00011
U,ConstrF,38,0.00038
U,UtilF,38,0.004
U,RetailF,38,0.00353
U,Exports,38,0.39778
U,ServiceF,38,0.17411
U,PublicF,38,0.14463
U,hhold,38,0.18602
U,ManufF,38,0.08867
U,AgforF,38,0.00017
U,TrawhseF,38,4e-04
U,WhlsaleF,38,0.00032
U,ConstrF,39,0.12413
U,UtilF,39,0.00226
U,RetailF,39,0.01234
U,Exports,39,0.31718
U,ServiceF,39,0.0215
U,PublicF,39,0.04743
U,hhold,39,0.4205
U,ManufF,39,0.05049
U,AgforF,39,0.00073
U,TrawhseF,39,0.00017
U,WhlsaleF,39,0.00325
U,ConstrF,40,0.01132
U,UtilF,40,0.00608
U,RetailF,40,0.01715
U,Exports,40,0.24844
U,ServiceF,40,0.06683
U,PublicF,40,0.08903
U,hhold,40,0.47272
U,ManufF,40,0.05263
U,AgforF,40,0.00316
U,TrawhseF,40,0.01664
U,WhlsaleF,40,0.016
U,Exports,41,0.5246
U,ManufF,41,0.4754
