distance,SU,TT,CS,DBL,TPT
0,0.2212,0.2212,0.09516,0.09516,0.09516
1,0.17227,0.17227,0.08611,0.08611,0.08611
2,0.13416,0.13416,0.07791,0.07791,0.07791
3,0.10449,0.10449,0.0705,0.0705,0.0705
4,0.08137,0.08137,0.06379,0.06379,0.06379
5,0.06337,0.06337,0.05772,0.05772,0.05772
6,0.04936,0.04936,0.05223,0.05223,0.05223
7,0.03844,0.03844,0.04726,0.04726,0.04726
8,0.02994,0.02994,0.04276,0.04276,0.04276
9,0.02331,0.02331,0.03869,0.03869,0.03869
10,0.01816,0.01816,0.03501,0.03501,0.03501
11,0.01414,0.01414,0.03168,0.03168,0.03168
12,0.01101,0.01101,0.02866,0.02866,0.02866
13,0.00858,0.00858,0.02593,0.02593,0.02593
14,0.00668,0.00668,0.02347,0.02347,0.02347
15,0.0052,0.0052,0.02123,0.02123,0.02123
16,0.00405,0.00405,0.01921,0.01921,0.01921
17,0.00316,0.00316,0.01738,0.01738,0.01738
18,0.00246,0.00246,0.01573,0.01573,0.01573
19,0.00191,0.00191,0.01423,0.01423,0.01423
20,0.00149,0.00149,0.01288,0.01288,0.01288
21,0.00116,0.00116,0.01165,0.01165,0.01165
22,0.0009,0.0009,0.01054,0.01054,0.01054
23,0.0007,0.0007,0.00954,0.00954,0.00954
24,0.00055,0.00055,0.00863,0.00863,0.00863
25,0.00043,0.00043,0.00781,0.00781,0.00781
26,0.00033,0.00033,0.00707,0.00707,0.00707
27,0.00026,0.00026,0.0064,0.0064,0.0064
28,0.0002,0.0002,0.00579,0.00579,0.00579
29,0.00016,0.00016,0.00524,0.00524,0.00524
30,0.00012,0.00012,0.00474,0.00474,0.00474
31,0.0001,0.0001,0.00429,0.00429,0.00429
32,0.00007,0.00007,0.00388,0.00388,0.00388
33,0.00006,0.00006,0.00351,0.00351,0.00351
34,0.00005,0.00005,0.00318,0.00318,0.00318
35,0.00004,0.00004,0.00287,0.00287,0.00287
36,0.00003,0.00003,0.0026,0.0026,0.0026
37,0.00002,0.00002,0.00235,0.00235,0.00235
38,0.00002,0.00002,0.00213,0.00213,0.00213
39,0.00001,0.00001,0.00193,0.00193,0.00193
40,0.00001,0.00001,0.00174,0.00174,0.00174
41,0.00001,0.00001,0.00158,0.00158,0.00158
42,0.00001,0.00001,0.00143,0.00143,0.00143
43,0,0,0.00129,0.00129,0.00129
44,0,0,0.00117,0.00117,0.00117
45,0,0,0.00106,0.00106,0.00106
46,0,0,0.00096,0.00096,0.00096
47,0,0,0.00087,0.00087,0.00087
48,0,0,0.00078,0.00078,0.00078
49,0,0,0.00071,0.00071,0.00071
50,0,0,0.00064,0.00064,0.00064
51,0,0,0.00058,0.00058,0.00058
52,0,0,0.00052,0.00052,0.00052
53,0,0,0.00048,0.00048,0.00048
54,0,0,0.00043,0.00043,0.00043
55,0,0,0.00039,0.00039,0.00039
56,0,0,0.00035,0.00035,0.00035
57,0,0,0.00032,0.00032,0.00032
58,0,0,0.00029,0.00029,0.00029
59,0,0,0.00026,0.00026,0.00026
60,0,0,0.00024,0.00024,0.00024
61,0,0,0.00021,0.00021,0.00021
62,0,0,0.00019,0.00019,0.00019
63,0,0,0.00017,0.00017,0.00017
64,0,0,0.00016,0.00016,0.00016
65,0,0,0.00014,0.00014,0.00014
66,0,0,0.00013,0.00013,0.00013
67,0,0,0.00012,0.00012,0.00012
68,0,0,0.00011,0.00011,0.00011
69,0,0,0.0001,0.0001,0.0001
70,0,0,0.00009,0.00009,0.00009
71,0,0,0.00008,0.00008,0.00008
72,0,0,0.00007,0.00007,0.00007
73,0,0,0.00006,0.00006,0.00006
74,0,0,0.00006,0.00006,0.00006
75,0,0,0.00005,0.00005,0.00005
76,0,0,0.00005,0.00005,0.00005
77,0,0,0.00004,0.00004,0.00004
78,0,0,0.00004,0.00004,0.00004
79,0,0,0.00004,0.00004,0.00004
80,0,0,0.00003,0.00003,0.00003
81,0,0,0.00003,0.00003,0.00003
82,0,0,0.00003,0.00003,0.00003
83,0,0,0.00002,0.00002,0.00002
84,0,0,0.00002,0.00002,0.00002
85,0,0,0.00002,0.00002,0.00002
86,0,0,0.00002,0.00002,0.00002
87,0,0,0.00002,0.00002,0.00002
88,0,0,0.00001,0.00001,0.00001
89,0,0,0.00001,0.00001,0.00001
90,0,0,0.00001,0.00001,0.00001
91,0,0,0.00001,0.00001,0.00001
92,0,0,0.00001,0.00001,0.00001
93,0,0,0.00001,0.00001,0.00001
94,0,0,0.00001,0.00001,0.00001
95,0,0,0.00001,0.00001,0.00001
96,0,0,0.00001,0.00001,0.00001
97,0,0,0.00001,0.00001,0.00001
98,0,0,0.00001,0.00001,0.00001
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0